har_id,gene,old_rank,rank,rank_change,old_total,total_score,old_score_accel,score_acceleration,old_score_motif,score_motif,driver
HAR_2378,ZSWIM6,4,1,3,0.6007385010768365,0.6175070663925856,0.7501835249286583,0.9753044435807747,0.0,0.020202020202020204,acceleration
HAR_575,POC1B,1,2,-1,0.647422986245637,0.6051204046655186,0.6726687244403055,0.03948610157858613,0.0,0.04040404040404041,acceleration
HAR_1826,TCF20,2,3,-1,0.6296585316511809,0.6045401096801871,0.40763720958368066,0.041587602783048704,0.0,0.010101010101010102,acceleration
HAR_2635,FBXL4,3,4,-1,0.612074727722289,0.5479187535741595,1.0,0.011336011448078482,0.0,0.10101010101010101,motif
HAR_1545,ZEB2,6,5,1,0.5688630039840151,0.5383533145110465,0.48577729829418964,0.02827956989247312,0.0,0.030303030303030304,acceleration
HAR_2634,FBXL4,7,6,1,0.5560069561782428,0.5314622801013549,0.41731962217274526,0.05946638528791076,0.0,0.010101010101010102,acceleration
HAR_1613,HOXD13,5,7,-2,0.5781546476495913,0.5248168157918668,0.7823577464367558,0.013173712682829092,0.0,0.010101010101010102,acceleration
HAR_1964,GBE1,12,8,4,0.5239335556808531,0.5226729557814576,0.629379066124169,0.055814940577249575,0.0,0.7777777777777778,motif
HAR_2397,MEF2C,20,9,11,0.5001908093331697,0.5106360246278049,0.6052368950123422,0.7255942275042445,0.0,0.04040404040404041,acceleration
HAR_2395,MEF2C,16,10,6,0.5039926876990728,0.5080773936766316,0.7588922254718923,0.7811701319334117,0.0,0.050505050505050504,acceleration
HAR_3105,BNC2,10,11,-1,0.5323643348674807,0.5032925367866332,0.5879429774350823,0.04276144640998959,0.0,0.18181818181818182,motif
HAR_2389,RPS23,31,12,19,0.4753293334410884,0.4989420143300461,0.73478937558575,0.8989532151249733,0.0,0.24242424242424243,acceleration
HAR_3188,ZNF462,8,13,-5,0.5407652982176457,0.4985115921345559,0.7046967321556706,0.028922287390029326,0.0,0.10101010101010101,motif
HAR_224,SDCCAG8,18,14,4,0.5018770660206315,0.49244162702179095,0.34283737922698687,0.17197035745422845,0.0,0.050505050505050504,acceleration
HAR_3062,GLIS3,22,15,7,0.4857101414469911,0.49228908338251726,0.47749532630391495,0.07364471326164876,0.0,0.696969696969697,motif
HAR_1554,ZEB2,36,16,20,0.4701046025837077,0.4897411264589242,0.051333650919147523,0.3029953917050691,0.0,0.04040404040404041,acceleration
HAR_31,SLC6A9,9,17,-8,0.5330439951388893,0.489084680381826,0.6852749243095803,0.02120967741935484,0.0,0.050505050505050504,motif
HAR_376,KCNC1,13,18,-5,0.5238271597352498,0.4873900309782687,0.6333582957282677,0.047892819979188345,0.0,0.09090909090909091,motif
HAR_1308,TCF4,14,19,-5,0.5208262733355307,0.4868586943586894,0.6287082587569864,0.035232022291287114,0.0,0.15151515151515152,motif
HAR_526,SOX5,41,20,21,0.46344981153935016,0.485583866763604,0.686797371057515,0.9452781022553689,0.0,0.08080808080808081,acceleration
HAR_525,SOX5,54,21,33,0.4461877827015351,0.48455238058979544,0.5959857746627418,0.9997513144806026,0.0,0.20202020202020202,acceleration
HAR_2970,ZFHX4,11,22,-11,0.5284983613757589,0.4768966281056779,0.8093160278500278,0.014428351985955672,0.0,0.08080808080808081,motif
HAR_2396,MEF2C,47,23,24,0.45605915979354295,0.47687612865726364,0.6621059561385338,0.9089861751152074,0.0,0.0707070707070707,acceleration
HAR_1487,AFF3,19,24,-5,0.5011609351153903,0.4741212670248122,0.5205232557506193,0.0476621964479884,0.0,0.12121212121212122,motif
HAR_1764,ADNP,21,25,-4,0.4869430128244676,0.47190114406955513,0.3287448497807186,0.09221598877980365,0.0,0.030303030303030304,acceleration
HAR_728,PCCA,35,26,9,0.47163574067329544,0.4696879813140474,0.2680280574928047,0.12476280834914612,0.0,0.16161616161616163,acceleration
HAR_1144,PAFAH1B1,17,27,-10,0.5022506546494356,0.4646352933815978,0.7056209901115048,0.038388556415121886,0.0,0.18181818181818182,motif
HAR_1889,NPRL2,23,28,-5,0.4856069530416794,0.4639642991882944,0.40763720958368066,0.06238140417457306,0.0,0.050505050505050504,acceleration
HAR_1290,SETBP1,15,29,-14,0.506194822343556,0.4583358859310297,0.8242947220689791,0.010725500591329882,0.0,0.18181818181818182,motif
HAR_767,PRKD1,33,30,3,0.4747861116803863,0.45449287291698703,0.728291470685954,0.0343476557398459,0.0,0.5656565656565656,motif
HAR_1680,SMARCAL1,34,31,3,0.47187797982186197,0.45250631785645784,0.40961075788071916,0.08236767929846539,0.0,0.0707070707070707,acceleration
HAR_1574,NR4A2,30,32,-2,0.4758547519865971,0.4477211165886404,0.552173127579331,0.0203939205955335,0.0,0.18181818181818182,motif
HAR_1452,BCL11A,28,33,-5,0.4773760877146933,0.44742753727111,0.5983381307159242,0.040631565937461374,0.0,0.18181818181818182,motif
HAR_1576,NR4A2,24,34,-10,0.484894816754859,0.44514686476959625,0.7560303830748181,0.015042324410889957,0.0,0.24242424242424243,motif
HAR_2520,GRM6,39,35,4,0.4647836475531352,0.44335577467645165,0.38896079835290615,0.06841831425598335,0.0,0.020202020202020204,acceleration
HAR_2884,CLN8,64,36,28,0.4305732458315527,0.43993313539332224,0.8008157447544465,0.22024273849401185,0.0,1.0,motif
HAR_1779,CHRNA4,78,37,41,0.41658929388128385,0.43865335569274855,0.5272577336312415,0.2796880538816023,0.0,0.7878787878787878,motif
HAR_2560,FANCE,32,38,-6,0.4750385036696071,0.4349562719747125,0.6104460101664121,0.03062769302433912,0.0,0.010101010101010102,acceleration
HAR_14,DDOST,46,39,7,0.458256908262228,0.4341492481805787,0.5216612010877806,0.04739592719408903,0.0,0.18181818181818182,motif
HAR_2153,PHOX2B,26,40,-14,0.4802569303965063,0.43413244536234696,0.8076440349421642,0.01163768308332227,0.0,0.1919191919191919,motif
HAR_1586,TBR1,38,41,-3,0.4654078375579107,0.43403481729431254,0.523918247917109,0.04687221529139191,0.0,0.04040404040404041,acceleration
HAR_1553,ZEB2,25,42,-17,0.48421146637978385,0.4337883342320657,0.7732923942715036,0.024101906158357774,0.0,0.04040404040404041,motif
HAR_1253,CELF4,42,43,-1,0.46273758391976794,0.43351643332747747,0.5123750265661831,0.03720996038483305,0.0,0.08080808080808081,motif
HAR_1145,PAFAH1B1,49,44,5,0.4556000733856563,0.433098456221964,0.6699415723177952,0.07431962438048866,0.0,0.3838383838383838,motif
HAR_2929,FGFR1,27,45,-18,0.4774829317751982,0.4312383973626121,0.723278687588357,0.02656744561923362,0.0,0.050505050505050504,motif
